code,first_name,second_name,web_name,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,25-26,fbref,understat,transfermarkt
37265,Alexis,Sánchez,Sánchez,12.0,14.0,295.0,240.0,,,,,,,2c0f8e9e,498.0,40433
37339,Ahmed,El Mohamady,El Mohamady,158.0,,,22.0,29.0,,,,,,615ef733,1685.0,66333
37388,Marcin,Wasilewski,Wasilewski,170.0,,,,,,,,,,24249219,760.0,16947
37402,Christian,Fuchs,Fuchs,168.0,192.0,216.0,163.0,218.0,,,,,,a67a09fb,749.0,6636
37572,Sergio,Agüero,Agüero,239.0,257.0,280.0,210.0,268.0,,,,,,4d034881,619.0,26399
37605,Mesut,Özil,Özil,14.0,16.0,13.0,15.0,1.0,,,,,,16380240,499.0,35664
37614,Mario,Vrancic,Vrancic,,,,282.0,,,,,,,16fa6881,12.0,39372
37642,Jonny,Evans,Evans,431.0,423.0,222.0,162.0,219.0,201.0,249.0,703.0,371.0,,f8fcd2a5,807.0,42412
37742,Younes,Kaboul,Kaboul,341.0,398.0,375.0,,,,,,,,3680d723,736.0,27114
37748,Bacary,Sagna,Sagna,224.0,,,,,,,,,,6ef56efd,625.0,26764
37869,Ryan,Shawcross,Shawcross,318.0,330.0,,,,,,,,,285a3d44,886.0,45861
37901,Dimitri,Payet,Payet,461.0,,,,,,,,,,58ae47b2,536.0,37647
37915,Hugo,Lloris,Lloris,380.0,375.0,351.0,340.0,383.0,353.0,425.0,502.0,,,8f62b6ee,637.0,17965
37998,Bafétimbi,Gomis,Gomis,377.0,,,,,,,,,,3d6686f9,717.0,22388
38038,Ben,Hamer,Hamer,583.0,190.0,190.0,,,,,,,,d822a850,1759.0,67283
38290,Danny,Rose,Rose,383.0,378.0,354.0,332.0,384.0,377.0,,,,,89d10e53,641.0,50174
38411,Nacho,Monreal,Monreal,10.0,10.0,5.0,6.0,,,,,,,d4cb83cc,495.0,43003
38419,Loïc,Remy,Remy,98.0,,,,,,,,,,5c2da10f,690.0,45121
38439,Etienne,Capoue,Capoue,416.0,409.0,389.0,373.0,,,,,,,5acc4a10,572.0,63494
38454,Dejan,Lovren,Lovren,191.0,215.0,239.0,186.0,,,,,,,1a2935f6,602.0,37838
38490,Beram,Kayal,Kayal,,64.0,57.0,56.0,,,,,,,26679cdf,6409.0,44741
38499,Tomer,Hemed,Hemed,,72.0,63.0,,,,,,,,27d7453c,4046.0,112668
38533,Rui Pedro,dos Santos Patrício,Patrício,,,454.0,411.0,455.0,427.0,,,,,79b0d6a0,6849.0,45026
38580,Jose,Fonte,Fonte,297.0,440.0,,,,,,,,,90f87966,834.0,33829
38588,Gaetano,Berardi,Berardi,,,,,685.0,,,,,,5348aada,9423.0,43084
38716,Lee,Peltier,Peltier,,,95.0,,600.0,,,,,,af341b88,6822.0,38094
39104,Mousa,Dembélé,Dembélé,391.0,385.0,362.0,,,,,,,,f7ee69fb,642.0,19368
39155,Adam,Lallana,Lallana,205.0,228.0,250.0,195.0,54.0,53.0,101.0,138.0,463.0,,99813635,486.0,43530
39158,Scott,Arfield,Arfield,63.0,82.0,,,,,,,,,b1313ec4,1659.0,55291
39167,Andrea,Ranocchia,Ranocchia,638.0,,,,,,,,,,539230cf,1522.0,44327
39187,Jeremain,Lens,Lens,351.0,,,,,,,,,,6f1721f0,781.0,38497
39194,Jan,Vertonghen,Vertonghen,385.0,380.0,355.0,330.0,,,,,,,ba23a904,640.0,43250
39215,Michel,Vorm,Vorm,381.0,376.0,352.0,555.0,,,,,,,1bebde9d,651.0,26276
39253,Jonas,Olsson,Olsson,432.0,,,,,,,,,,48844a9b,805.0,25248
39270,Marvin,Emnes,Emnes,378.0,,,,,,,,,,a5900d91,829.0,37787
39472,Dieumerci,Mbokani,Mbokani,569.0,,,,,,,,,,d9847696,795.0,44624
39476,Sokratis,Papastathopoulos,Sokratis,,,12.0,5.0,2.0,,,,,,b682dcf6,371.0,34322
39487,Erik,Pieters,Pieters,321.0,332.0,,447.0,83.0,100.0,,,,,1ef37668,887.0,43763
39725,Anders,Lindegaard,Lindegaard,,554.0,485.0,,,,,,,,636f1a28,950.0,22491
39790,Francisco,Casilla Cortés,Casilla,,,,,194.0,183.0,,,,,58bc7d18,2259.0,27486
39847,Steven,Defour,Defour,525.0,85.0,77.0,99.0,,,,,,,73489527,1657.0,33866
40002,Matteo,Darmian,Darmian,251.0,268.0,289.0,230.0,,,,,,,96e0490d,557.0,54906
40142,Andy,Carroll,Carroll,468.0,457.0,418.0,520.0,320.0,,,,,,b581987a,537.0,48066
40145,Jack,Cork,Cork,367.0,90.0,82.0,102.0,84.0,101.0,,163.0,,,74e12f1e,712.0,40613
40146,Ryan,Bertrand,Bertrand,296.0,307.0,330.0,305.0,362.0,473.0,250.0,,,,01226327,835.0,40611
40202,George,Friend,Friend,276.0,,,,,,,,,,4f97147d,1708.0,77544
40232,Gonzalo,Higuaín,Higuaín,,,579.0,,,,,,,,8a08491a,1293.0,39153
40276,Bojan,Krkic Perez,Bojan,335.0,344.0,,,,,,,,,9fa0a0b8,871.0,44675
40346,Erwin,Mulder,Mulder,,576.0,,,,,,,,,b3576b7c,6431.0,56631
40349,Asmir,Begovic,Begovic,74.0,29.0,24.0,72.0,,481.0,176.0,,624.0,,7b4de647,694.0,33873
40383,Fraser,Forster,Forster,294.0,306.0,329.0,317.0,523.0,333.0,426.0,498.0,488.0,782.0,c3e39f12,831.0,52570
40386,Chris,Basham,Basham,,,,423.0,345.0,,,474.0,,,1aa84968,7704.0,52495
40387,Dan,Gosling,Gosling,43.0,43.0,37.0,81.0,,378.0,,,,,7fec31a0,462.0,44983
40399,Sam,Vokes,Vokes,67.0,91.0,84.0,,,,,,,,1d6ac165,1661.0,48078
40451,Anthony,Pilkington,Pilkington,,,103.0,,,,,,,,b31af577,,67322
40555,Joe,Allen,Allen,202.0,337.0,,,,,,,,,9feb8f24,480.0,51452
40559,Fabricio,Agosto Ramírez,Fabri,,,474.0,,171.0,,,,,,af245161,2587.0,45882
40564,Henri,Lansbury,Lansbury,,,,35.0,30.0,,,,,,fe8e6fa1,7727.0,44794
40616,Stephen,Ward,Ward,57.0,78.0,71.0,,,,,,,,3831b9fe,1655.0,34691
40669,Angelo,Ogbonna,Ogbonna,456.0,444.0,403.0,377.0,432.0,409.0,456.0,577.0,,,74b2cd7e,528.0,48002
40694,Roberto,Jimenez Gago,Roberto,,,,450.0,433.0,,,,,,ba3ca78f,5087.0,37403
40720,Edinson,Cavani,Cavani,,,,,569.0,269.0,,,,,527f063d,3294.0,48280
40725,Danny,Simpson,Simpson,172.0,193.0,217.0,,,,,,,,3201b03d,746.0,37442
40755,Daniel,Sturridge,Sturridge,214.0,236.0,472.0,,,,,,,,1b7ec703,483.0,47082
40772,Gökhan,Inler,Inler,180.0,,,,,,,,,,3200c583,761.0,19041
40784,Mamadou,Sakho,Sakho,190.0,221.0,143.0,125.0,127.0,,,,,,87935cf3,485.0,47713
40833,Jérémy,Pied,Pied,492.0,312.0,,,,,,,,,a634b9d2,1784.0,60583
40836,Vicente,Guaita,Guaita,,,137.0,131.0,128.0,146.0,152.0,227.0,,,ab13a5aa,2190.0,64399
40845,Dale,Stephens,Stephens,,63.0,56.0,57.0,55.0,102.0,,,,,653ee42d,6051.0,49755
40868,José,Holebas,Holebas,411.0,401.0,378.0,353.0,,,,,,,12aa7661,568.0,41112
41135,Branislav,Ivanovic,Ivanovic,76.0,,,,530.0,,,,,,85f8571a,682.0,36827
41184,Marouane,Fellaini,Fellaini,257.0,275.0,298.0,,,,,,,,87575fd9,630.0,39679
41251,Eduardo,dos Reis Carvalho,Eduardo,663.0,95.0,,,,,,,,,81b906e7,5561.0,34159
41270,David,Luiz Moreira Marinho,David Luiz,570.0,101.0,116.0,106.0,3.0,,,,,,c0e27d1a,1676.0,46741
41320,Charlie,Daniels,Daniels,33.0,34.0,28.0,60.0,,,,,,,9d107085,459.0,61819
41321,Yohan,Benalouane,Benalouane,174.0,195.0,218.0,,,,,,,,8309b068,974.0,50477
41328,César,Azpilicueta,Azpilicueta,77.0,97.0,113.0,105.0,102.0,119.0,127.0,189.0,,,53cad200,681.0,57500
41338,Craig,Cathcart,Cathcart,408.0,399.0,376.0,358.0,,379.0,,,,,89e4b358,581.0,59606
41464,Marko,Arnautovic,Arnautovic,331.0,340.0,417.0,385.0,,,,,,,00459419,865.0,41384
41674,Kevin,Long,Long,594.0,80.0,73.0,88.0,85.0,103.0,,,,,5a4280b1,1747.0,111114
41705,Bradley,Guzan,Guzan,490.0,,,,,,,,,,d899e3bf,662.0,39471
41725,Troy,Deeney,Deeney,425.0,417.0,396.0,362.0,,380.0,,,,,82e34b69,574.0,65477
41727,Ryan,Bennett,Bennett,,,427.0,404.0,456.0,,,,,,0bad4516,787.0,67252
41733,Georginio,Wijnaldum,Wijnaldum,485.0,232.0,252.0,199.0,243.0,,,,,,eb58eef0,771.0,49499
41792,Aaron,Ramsey,Ramsey,16.0,18.0,14.0,,,,,,,,ef619b0b,504.0,50057
41823,Fabian,Delph,Delph,227.0,246.0,269.0,205.0,149.0,163.0,,,,,111c3236,876.0,50362
41926,Almen,Abdi,Abdi,417.0,,,,,,,,,,8d425d84,569.0,9966
41945,Sebastian,Prödl,Prödl,409.0,400.0,377.0,361.0,,,,,,,f5e6d08d,566.0,37981
42427,Kieran,Gibbs,Gibbs,7.0,8.0,,,407.0,,,,,,46ee5234,545.0,44792
42493,Mario,Balotelli,Balotelli,215.0,,,,,,,,,,8ff07990,1817.0,45146
42525,Stephen,Henderson,Henderson,,,,556.0,578.0,,,,,,f234c188,8095.0,52191
42564,Eric Maxim,Choupo-Moting,Choupo-Moting,,497.0,,,,,,,,,0e6bc38c,339.0,45660
42583,Sébastien,Pocognoli,Pocognoli,434.0,,,,,,,,,,cc41eec1,893.0,17804
42593,Aleksandar,Kolarov,Kolarov,220.0,243.0,,,,,,,,,eda40760,621.0,46156
42727,Yoan,Gouffran,Gouffran,,297.0,,,,,,,,,a28d181a,916.0,23825
